Thesis Grading Guidelines,,,,,,,
"(0) These grading guidelines are a work in progress and may undergo revisions. 
(1) The thesis is evaluated as a demonstration of your ability to carry out and communicate scientific research. You are not graded on the ""impact"" of your results or whether they meet certain expectations but on how you produced, analyzed, and presented them. For example, you don't need to invent LSTM to get your degree; so finding out that an interesting hypothesis does not work is fine, if it has been executed properly.
(2) During the research and development phase, you are encouraged to seek and apply feedback from your supervisor as needed. However, for the thesis manuscript itself, you may receive high-level feedback from your supervisor only once, ensuring that the final written work is authentically your own.
(3) To receive an overall passing grade, you must achieve a passing grade in each of the three sections (Scientific Work, Scientific Documentation, Manuscript) and the manuscript must pass the plagiarism check.",,,,,,,
,,,,,,,
Not sufficient (5) ,Sufficient (4)  ,Satisfactory (3),Good (2),Excellent (1) ,Factor,Grade,
Scientific Work,,,,,0.50,-,
Research/technical skills ,,,,,0.30,-,
"*Inadequate knowledge of the research area.
*Does not have a proper project management strategy (works sloppily).
*Has acquired insufficient skills (e.g. coding) needed to fulfill the project.
*The student is unable to identify or select appropriate tools or metrics for producing and analyzing results.","*Limited knowledge of the research area, but lacks in-depth understanding and reasoning.
*Must be regularly reminded of the importance of good project management strategy (work with precision), but does take this advice to heart.
*Has acquired most of the necessary skills (e.g. coding) to conduct the project.
*The student is aware of basic tools and metrics but struggles to select those best suited for the research task.","*Sufficient knowledge of the research area, and shows some in-depth understanding and reasoning.
*Has a good project management strategy (works organized with precision) and, after an explanation, understands why certain procedures are necessary.
*Has acquired the necessary skills (e.g. coding) to conduct good, reliable, and reproducible results.
*The student selects suitable tools and metrics for the analysis but may require some guidance in their application.","*Good knowledge of the research area, shows an in-depth understanding of the conceptual (theoretical) framework.
*Has a good project management strategy (works organized with precision) and understands why certain approaches are necessary, without a detailed explanation.
*The student is mostly capable of selecting adapted tools and metrics for producing and analyzing results, with occasional support.","*Very good knowledge of the research area, shows an in-depth understanding of the conceptual (theoretical) framework and critically reflects on (new) information.
*Has a professional project management strategy (works very well organized with high precision) and understands how certain approaches are connected and necessary, without any explanation.
*The student expertly selects and applies the most suitable tools and metrics for producing and analyzing results, demonstrating strong analytical judgment.",,,
Scientific quality of the research process (1),,,,,0.40,-,
"*Only begins to understand the relevance of the research process and procedures after considerable explanation.
*The resulting data and results are unreliable and unsubstantiated, lacking reproducibility and statistical significance, and are not of any use to the supervisor.","*Understands the relevance of research process and procedures after explanation, but is not yet capable of exploiting this to increase the quality and reliability of the conducted research.
*The resulting data and results are only partly reliable and substantiated, with limited attention to reproducibility (e.g., absence of error bars) and no statistical significance testing.","*Understands the relevance of the research process and procedures without explanation and how experimental procedures can influence the reliability of data, but is not yet able to apply this knowledge to their project.
*The resulting data and results are reliable, relatively well-substantiated, and include some basic elements of reproducibility (e.g., use of error bars) though limited statistical tests are applied.","*Understands the relevance of the research process and procedures without explanation and can pinpoint with some guidance which steps in the experimental procedure may lead to uncertainties, estimating the feasibility of the research.
*The data and results are reliable, relatively well-substantiated, and include reproducibility measures (e.g., error bars) and some statistical significance tests, though with occasional guidance.","*Fully understands the research process and procedures without explanation, demonstrating a strong ability to estimate research feasibility and result reliability.
*The data and results are reliable, very well-substantiated, and carefully interpreted within the context of related work. They include comprehensive reproducibility measures (e.g., error bars) and statistical significance testing, allowing for robust and reproducible conclusions.",,,
Motivation & Independance (2),,,,,0.30,-,
"*Struggles to work independently, relying heavily on supervisor guidance.
*Doesn’t seek feedback or is unresponsive to it.","*Requires firm guidance from the supervisor and demonstrates limited independence.
*Rarely seeks feedback and shows minimal responsiveness to suggestions.","*Works independently with occasional support, creates plans, and generally adheres to time management.
*Occasionally seeks feedback and makes some effort to apply it.","*Demonstrates strong independence, manages tasks effectively, and follows a well-organized plan.
*Proactively seeks feedback, applies it, and updates the supervisor on progress.","*Exhibits full independence, strategically manages tasks and timelines, and adapts plans proactively as needed.
*Consistently seeks feedback, thoughtfully applies it, updates the supervisor on progress, and constructively engages with criticism.",,,
Scientific Documentation ,,,,,0.10,-,
Code (only if applicable),,,,,1.00,-,
"*The code cannot be run or produces errors that prevent it from functioning.
*The code lacks documentation, making it difficult or impossible to understand.
*The code is poorly structured, with unclear naming and no modularity.
*Data is not accessible, and no information is provided on where to find it.
*Dependencies are not listed, and there are no instructions for setting up the environment.","*The code can be run but does not produce the same results as reported in the thesis.
*Documentation is sparse, with unclear or incomplete comments and instructions.
*The code is somewhat structured but has unclear naming and lacks modularity.
*Data is not included in the repository and is not clearly indicated where to find it.
*Dependencies are listed, but the instructions for setting up the environment are incomplete or unclear.","*The code can be run and produces similar results as reported in the thesis with minor discrepancies.
*Documentation is adequate, with basic comments and a README file with general instructions.
*The code is reasonably structured, with clear naming and some modularity.
*Data is included in the repository or clearly indicated where to find it.
*Dependencies are listed, and the instructions for setting up the environment are generally clear.","*The code can be run and produces the same results as reported in the thesis.
*Documentation is thorough, with clear comments, a comprehensive README file, and detailed instructions for running the code.
*The code is well-structured, with clear naming conventions and good modularity.
*Data is included in the repository or clearly indicated where to find it, with precise instructions.
*Dependencies are clearly listed, and the instructions for setting up the environment are detailed and easy to follow.","*The code can be run easily and produces the exact results as reported in the thesis, demonstrating full reproducibility.
*Documentation is exceptional, with extensive comments, a detailed README file, and comprehensive instructions for running the code and reproducing the results.
*The code is exceptionally well-structured, following best programming practices with clear naming conventions and high modularity.
*Data is included in the repository or clearly indicated where to find it, with meticulous instructions and easy access.
*All dependencies are meticulously listed, and the instructions for setting up the environment are thorough, ensuring a smooth setup process.",,,
"Manuscript (BSc: 5-10k | MSc: 10-20k words excl. references, story summary, and appendix, note that supervisors are not required to read the appendix)",,,,,0.40,-,
"Summary Q&A (MANDATORY, upto 3 sentences per answer)",,,,,0.10,-,
"*The questions are either not answered or the answers provided are irrelevant to the research.
*Answers lack clarity and coherence, and are filled with jargon or abbreviations.
*The answers do not demonstrate any understanding of the research or its broader context.","*The questions are answered but with insufficient detail and relevance.
*Answers are somewhat unclear, and may include unnecessary jargon or abbreviations.
*The connection between the answers and the research is weak, showing a limited understanding of the research.","*Most questions are answered adequately with relevant information.
*Answers are generally clear but might lack some depth or contain minor jargon.
*The answers show an understanding of the research, though some connections to the broader context may be superficial.","*All questions are answered thoroughly with relevant and detailed information.
*Answers are clear, concise, and free from jargon.
*The answers demonstrate a good understanding of the research and its broader context, linking the central question and methods effectively.","*All questions are answered comprehensively with detailed and highly relevant information.
*Answers are exceptionally clear, concise, and completely free of jargon.
*The answers demonstrate an excellent understanding of the research and its broader context, showing how each element fits into the larger picture of the field.",,,
Title & abstract (~250 words),,,,,0.10,-,
"The title and/or abstract are missing and completely fails to describe the reported study.
*The title/abstract is missing and fails to describe of the reported research (research area, relevance, aim, method(s), results, conclusion).
*Title/Abstract is difficult to understand and/or contains abbreviations and/or jargon.","*The title does not completely identify the reported research.
*The abstract fails to offer all the information that should be presented (research area, relevance, aim, method(s), results, conclusion).
*Title/Abstract is not that easy to understand, because of the use of abbreviations and/or jargon.","*Title offers information on the topic and provides sufficient insight into the reported research.
*The abstract is informative and offers almost all the information that should be presented (research area, relevance, aim, method(s), results, conclusion).
*Title and abstract are easy to understand and contain no abbreviations or jargon.","*The title clearly identifies the content of the research article.
*The abstract offers all information that should be presented (research area, relevance, aim, method(s), results, conclusion) but is not yet a completely coherent story.
*Title and abstract are easy to understand and contain no abbreviations or jargon.","*Title clearly identifies the reported research and is attractive to readers. 
*The abstract includes all required information (research area, relevance, aim, method(s), results, conclusion) and is a coherent story that can be understood on its own.
*Title and abstract are easy to understand and contain no abbreviations or jargon.",,,
Introduction & related work (min. BSc: 1000 | MSc: 2000 words) --> Introduction,,,,,0.15,-,
"*Introduction/related work contains insufficient scientific literature relevant to the research area.
*Lacks a well-defined research aim (question/hypothesis) corresponding to the used literature.
*Missing contributions of this work.
*The structure of the introduction/related work completely lacks coherence.","*Introduction/related work contains sufficient scientific literature relevant to the research area.
*The research aim (question/hypothesis) is defined, but the link to the described literature is poor.
*The contributions of the work are not well-defined.
*The structure of the introduction/related work lacks coherence and the literature is not described in-depth.","*Introduction/related work contains most scientific literature relevant to the research area and is well structured.
*The research aim (question/hypothesis) is defined, linked to the described literature, and placed in a wider context.
*The contributions of the work are defined but not always linked to the research aim.
*The structure of the introduction/related work is coherent, but the interpretation of findings is superficial at some points.","*Introduction/related work contains almost all scientific literature relevant to the research area and is well structured.
*The research aim (question/hypothesis) is very well defined, and linked to the described literature.
*The contributions of this work are well-defined and linked to the research aim.
*The structure of the introduction/related work is coherent and the literature is well described.","*Introduction/related work is a thorough literature review containing all scientific literature relevant to the research area and could be suitable for publication.
*The research aim (question/hypothesis) is very well-defined, linked to the described literature, and clearly indicates the relevance/innovation.
*The contributions of this work are well-defined and in line and linked to the research aim.
*The structure of the introduction/related work is coherent, and the literature is well-described and appealing to read.",,,
Methods (& experiments),,,,,0.15,-,
"*Too many/too few details are used.
*No clear order has been used. 
*Important information is missing. Others are unable to repeat the research that is described in the report.
*Experiments do not address the research question or highlight the contributions.","*Too many/too few details are used.
*The order is not consistent.
*Some important information is missing. Others may struggle to repeat the research that is described in the report.
*Experiments are somewhat related to the research question but do not fully address it or highlight the contributions.","*All techniques have been described, but sometimes too many/too few details are used.
*A clear order is used and the sections are mostly concise and well-written.
*At some points important information is missing, but others can repeat the research that is described in the report.
*Experiments are generally in-line with the research question and highlight some contributions.","*All techniques have been described with enough detail, but the section should be adjusted before it can be used for publication.
*A logical order is used and the sections are well described concisely.
*All necessary information is provided for others to repeat the research that is described in the report.
*Experiments effectively address the research question and highlight the contributions.","*Excellent description of the methods and experiments used, which can directly be used for scientific publication.
*All sections are well described in a concise manner and logical order.
*All necessary information is provided for others to repeat the research that is described in the report.
*Experiments thoroughly address the research question and clearly highlight the contributions.",,,Rework
Results & their interpretation (1) (in italic only applies to Masters),,,,,0.15,-,
"*Interpretation of the data is insufficient.
*Results are poorly described and a coherent, understandable description of the data is missing.
*Relation to the introduction, research aim or a broader scientific context is missing.","*Interpretation of the data is marginal.
*Results are poorly described, and the story does not provide insight into why the research has been performed/how the data are related to the research aim.
*Relation to the introduction and research aim is unclear and relation to a broader scientific context is lacking.","*The interpretation of the data and the quality of the figures and tables is generally good.
*Results are described, but the story does not completely show why the research has been performed and how the data are related to the research aim.
*The relation to the introduction and research aim is clear, but the relation to a broader scientific context could be improved.","*Data are interpreted correctly.
*Results are well described so that the audience understands why the research has been performed and how the data are related to the research aim.
*Relation to the introduction, research aims, and a broader scientific context is clearly described.","*Data are all interpreted perfectly.
*Results are very well described and the story is appealing to the reader.
*Relation to the introduction, research aim and a broader scientific context is of high quality.",,,
"Limitations, conclusion (& reflexion) (in italic only applies to Masters) (min. BSc: 500 | MSc: 1000 words)",,,,,0.10,-,
"*Limitations are missing or insufficient.
*Conclusion is missing or does not derive logically from the presented information.
*Implication of the research findings and/or ideas for future research are missing.","*Limitations are poorly discussed.
*Conclusion does not derive logically from the presented information.
*Implication of the research findings is poorly described and ideas for future research are missing.","*Some limitations of the work are discussed.
*Conclusion is derived logically from the presented information.
*Implication of the research findings is described, but ideas for future research are missing.","*Major limitations are discussed. 
*Conclusion is strong and concise and derived logically from the presented information.
*Implications of the research findings as well as ideas for future research are presented.","*Major limitations are discussed in-depth.
*Conclusion is strong and concise and derived logically from the presented information.
*Implication of the research findings as well as ideas for future research are strong.",,,
Referencing,,,,,0.05,-,
"*References are largely missing or fail to support key statements.
*Citation style is inconsistent or missing, making it difficult to identify sources.","*References are occasionally cited but are often unsubstantiated.
*Citation style is used but inconsistently applied, with frequent errors.","*References generally support key statements, with only a few omissions.
*Citation style is mostly consistent, with occasional formatting errors.","*References effectively support all statements, with minor exceptions.
*Citation style is consistent, with only minor errors in formatting.","*References comprehensively support all statements, ensuring robust evidence throughout.
*Citation style is fully consistent and professionally formatted throughout.",,,
Figures & tables (min. BSc: 5 | MSc: 10 figures/tables),,,,,0.10,-,
"*Data are presented sloppily and figure numbers and titles are not sufficient or even missing.
*Information in the legends or graph axes is missing or inaccurate.
*Error bars are missing or inaccurately applied.","*All data have been presented, but the quality of the figures and tables is often poor and no clear titles are used for figures and titles.
*Legends or graph axes are incomplete or undefined.
*Error bars are inconsistently used and may lack accuracy.","*All data have been well presented in a coherent manner and/or some titles or graph axes are not defined well enough.
*Legends are present and fairly well described, but may be more concise.
*Error bars are included but could be clearer or more consistent.","*The data is presented in a well-structured manner and figures and tables all include a sharp and concise title, graph axes are complete and clear.
*Legends are present and well described containing all the information to understand the data that is presented.
*Error bars are systematically shown. ","*Data is presented in an excellent way. Figures and tables are of the highest quality.
*Legends are all present and described in a concise, professional manner.
*Error bars are systematically shown.",,,
"Professional writing (grammar, spelling and tone; sentence structure and word choice; layout; figures; references; equations)",,,,,0.10,-,
"*Frequent grammar/spelling errors; lacks professional tone.
*Convoluted, complex sentences that obscure meaning; lacks transition words.
*Disorganized layout; information poorly structured with illogical paragraph flow.
*Inconsistent or incorrect mathematical notation.","*Some grammar/spelling errors; lacks professional tone.
*Some sentences are overly complex; lacks clarity and simplicity in word choice.
*Organized layout but with minor issues in logical flow and paragraph structure.
*Some inconsistencies in mathematical notation.","*Few grammar/spelling errors; mostly professional tone.
*Clear sentences with concise, simple language; occasional issues with flow.
*Well-organized layout with logical order; paragraphs are mostly coherent.
*Mostly consistent mathematical notation, follows conventions.","*No grammar/spelling errors; professional tone.
*Clear and concise sentences; good use of simple language with logical flow.
*Well-organized layout; coherent and logically ordered paragraphs.
*Consistent mathematical notation, follows conventions.","*No grammar/spelling errors; highly professional tone.
*Clear, concise, and simple language; exceptional readability with logical flow.
*Exceptional layout with well-structured, coherent, and logically ordered paragraphs.
*Consistent, professional mathematical notation following conventions.",,,
,,,,Proposed Grade (round up or down),,-,
,,,,,,,
,,,,Plagiarism check,,-,